epoch,step,train_acc,train_loss,val_acc,val_loss
0,14,0.8591757416725159,4.784834384918213,,
2,29,,,2.682403326034546,4.555018901824951
2,29,1.7854745388031006,4.611931800842285,,
4,44,1.6378036737442017,4.554218292236328,,
6,59,,,2.1459226608276367,4.531628131866455
6,59,2.0271177291870117,4.543219566345215,,
8,74,1.9868438243865967,4.538291931152344,,
10,89,,,2.0386266708374023,4.555180549621582
10,89,1.9734193086624146,4.531677722930908,,
12,104,2.174788475036621,4.523316383361816,,
14,119,,,1.609442114830017,4.641029357910156
14,119,2.1613638401031494,4.511857032775879,,
16,134,2.6043763160705566,4.492646217346191,,
18,149,,,1.716738224029541,4.847075939178467
18,149,3.127936601638794,4.449395179748535,,
20,164,4.1347832679748535,4.38108491897583,,
22,179,,,1.9313304424285889,5.029867172241211
22,179,5.42354679107666,4.2781853675842285,,
24,194,6.859981060028076,4.136758804321289,,
26,209,,,1.824034333229065,4.938007831573486
26,209,9.424083709716797,3.9654905796051025,,
28,224,11.357229232788086,3.7921483516693115,,
30,239,,,1.9313304424285889,4.870707988739014
30,239,14.283796310424805,3.6192378997802734,,
32,254,16.25721549987793,3.4436123371124268,,
34,269,,,2.1459226608276367,4.743040561676025
34,269,19.331453323364258,3.259085178375244,,
36,284,23.050073623657227,3.0669076442718506,,
38,299,,,1.9313304424285889,4.5806498527526855
38,299,26.795543670654297,2.876614809036255,,
40,314,30.70210838317871,2.6797802448272705,,
42,329,,,2.3605151176452637,4.427064418792725
42,329,35.172508239746094,2.4833264350891113,,
44,344,39.62948226928711,2.294233560562134,,
46,359,,,2.1459226608276367,4.286561965942383
46,359,44.43549346923828,2.0991945266723633,,
48,374,48.63740158081055,1.9085304737091064,,
50,389,,,2.682403326034546,4.15231466293335
50,389,52.463417053222656,1.7348328828811646,,
52,404,58.04806137084961,1.5460585355758667,,
54,419,,,3.7553648948669434,3.957340717315674
54,419,63.76694869995117,1.372873067855835,,
56,434,67.49899291992188,1.2196768522262573,,
58,449,,,4.721030235290527,3.863001585006714
58,449,71.72774505615234,1.0841288566589355,,
60,464,75.45979309082031,0.9708888530731201,,
62,479,,,5.579399108886719,3.760427474975586
62,479,79.84964752197266,0.8335184454917908,,
64,494,83.97100067138672,0.7193318605422974,,
66,509,,,7.618025779724121,3.6265945434570312
66,509,87.62249755859375,0.6108623147010803,,
68,524,90.49536895751953,0.5155135989189148,,
70,539,,,10.193133354187012,3.471834421157837
70,539,93.03262329101562,0.431649386882782,,
72,554,94.69727325439453,0.36169740557670593,,
74,569,,,12.768239974975586,3.4244401454925537
74,569,95.85179138183594,0.306904673576355,,
76,584,96.87206268310547,0.2572667896747589,,
78,599,,,15.557939529418945,3.3644120693206787
78,599,97.43589782714844,0.21749411523342133,,
80,614,98.02658081054688,0.18658143281936646,,
82,629,,,15.236051559448242,3.4228761196136475
82,629,98.81863403320312,0.15369395911693573,,
84,644,98.77835845947266,0.1411072462797165,,
86,659,,,17.7038631439209,3.4249627590179443
86,659,99.24822235107422,0.12114106118679047,,
88,674,99.23479461669922,0.10354962199926376,,
90,689,,,17.918455123901367,3.5186891555786133
90,689,99.4898681640625,0.08999841660261154,,
92,704,99.66438293457031,0.0791490375995636,,
94,719,,,18.45493507385254,3.5763051509857178
94,719,99.3690414428711,0.0792999267578125,,
96,734,99.44959259033203,0.07661993056535721,,
98,749,,,17.811159133911133,3.6167869567871094
98,749,99.65096282958984,0.06372823566198349,,
100,764,99.75835418701172,0.052377987653017044,,
102,779,,,20.493562698364258,3.593245029449463
102,779,99.83890533447266,0.044757455587387085,,
104,794,99.83890533447266,0.040763065218925476,,
106,809,,,19.957080841064453,3.7380452156066895
106,809,99.74493408203125,0.04105488955974579,,
108,824,99.62410736083984,0.041765931993722916,,
110,839,,,20.708154678344727,3.71083402633667
110,839,99.54356384277344,0.04840639978647232,,
112,854,98.952880859375,0.06917541474103928,,
114,869,,,20.493562698364258,3.8721156120300293
114,869,98.8454818725586,0.07582728564739227,,
116,884,99.0334243774414,0.06645085662603378,,
118,899,,,21.995708465576172,3.874882221221924
118,899,98.99315643310547,0.060048334300518036,,
120,914,99.42274475097656,0.04875165969133377,,
122,929,,,21.67382049560547,3.7134950160980225
122,929,99.61068725585938,0.034895237535238266,,
124,944,99.65096282958984,0.030641356483101845,,
126,959,,,23.39055824279785,3.7379157543182373
126,959,99.78520965576172,0.025908496230840683,,
128,974,99.8926010131836,0.02140035293996334,,
130,989,,,23.712446212768555,3.724000930786133
130,989,99.95972442626953,0.013685282319784164,,
132,1004,99.93287658691406,0.011214160360395908,,
134,1019,,,23.927038192749023,3.7392385005950928
134,1019,99.93287658691406,0.012157893739640713,,
136,1034,99.5704116821289,0.0269891656935215,,
138,1049,,,20.493562698364258,4.147634506225586
138,1049,98.38904571533203,0.06372388452291489,,
140,1064,97.61042022705078,0.08520246297121048,,
142,1079,,,23.283262252807617,4.01566219329834
142,1079,98.28164672851562,0.07694955170154572,,
144,1094,98.88575744628906,0.057632070034742355,,
146,1109,,,26.502145767211914,3.6608786582946777
146,1109,99.32876586914062,0.037452954798936844,,
148,1124,99.4898681640625,0.027536612004041672,,
150,1139,,,29.828325271606445,3.547726631164551
150,1139,99.77178192138672,0.017877379432320595,,
152,1154,99.87918090820312,0.014599340036511421,,
154,1169,,,29.291845321655273,3.540750026702881
154,1169,99.95972442626953,0.008654755540192127,,
156,1184,99.93287658691406,0.007221686188131571,,
158,1199,,,29.828325271606445,3.4431209564208984
158,1199,99.95972442626953,0.004899021238088608,,
160,1214,99.93287658691406,0.005283314269036055,,
162,1229,,,27.253219604492188,3.7414019107818604
162,1229,99.86575317382812,0.009990479797124863,,
164,1244,99.40931701660156,0.029357289895415306,,
166,1259,,,23.60515022277832,4.036219120025635
166,1259,98.28164672851562,0.07036041468381882,,
168,1274,97.77151489257812,0.08189352601766586,,
170,1289,,,26.39484977722168,3.8237640857696533
170,1289,98.4158935546875,0.06893736869096756,,
172,1304,99.14082336425781,0.04234936460852623,,
174,1319,,,29.506437301635742,3.4838078022003174
174,1319,99.4764404296875,0.027165818959474564,,
176,1334,99.71808624267578,0.018768951296806335,,
178,1349,,,29.613733291625977,3.4135282039642334
178,1349,99.77178192138672,0.014031815342605114,,
180,1364,99.9060287475586,0.008789803832769394,,
182,1379,,,29.828325271606445,3.4162418842315674
182,1379,99.9060287475586,0.008564574643969536,,
184,1394,99.82547760009766,0.008230750449001789,,
186,1409,,,29.828325271606445,3.4988434314727783
186,1409,99.81205749511719,0.012443533167243004,,
188,1424,99.67781066894531,0.018130062147974968,,
190,1439,,,26.60944175720215,3.7448394298553467
190,1439,99.3824691772461,0.030444828793406487,,
192,1454,98.79178619384766,0.05544339120388031,,
194,1469,,,28.862661361694336,3.7485172748565674
194,1469,98.3219223022461,0.05862068757414818,,
196,1484,98.89917755126953,0.047400325536727905,,
198,1499,,,33.36909866333008,3.4579577445983887
198,1499,99.12740325927734,0.04012736305594444,,
200,1514,99.28849792480469,0.028266623616218567,,
202,1529,,,32.93991470336914,3.3849942684173584
202,1529,99.35562133789062,0.028520403429865837,,
204,1544,99.61068725585938,0.019248906522989273,,
206,1559,,,36.15879821777344,3.198438882827759
206,1559,99.79862976074219,0.013037782162427902,,
