epoch,step,train_acc,train_loss,val_acc,val_loss
0,19,0.7342143654823303,4.828919410705566,,
2,39,,,0.8607198596000671,4.763468265533447
2,39,0.8614782094955444,4.750630855560303,,
4,59,0.8125305771827698,4.747117519378662,,
6,79,,,0.15649452805519104,4.763309955596924
6,79,0.8418991565704346,4.745372772216797,,
8,99,0.8027410507202148,4.740002632141113,,
10,119,,,0.23474177718162537,4.780367851257324
10,119,0.9887420535087585,4.737095355987549,,
12,139,1.0181106328964233,4.730777740478516,,
14,159,,,0.0,4.838829040527344
14,159,1.2530592679977417,4.719992637634277,,
16,179,1.4880077838897705,4.701659679412842,,
18,199,,,0.07824726402759552,4.942902565002441
18,199,1.6935878992080688,4.678834915161133,,
20,219,1.860009789466858,4.649950981140137,,
22,239,,,0.15649452805519104,5.129978179931641
22,239,2.1439061164855957,4.606074810028076,,
24,259,2.476749897003174,4.5492143630981445,,
26,279,,,0.07824726402759552,5.284957408905029
26,279,3.504650115966797,4.471969127655029,,
28,299,4.385707378387451,4.387571811676025,,
30,319,,,0.15649452805519104,5.2970170974731445
30,319,5.227606296539307,4.307978630065918,,
32,339,6.2946648597717285,4.214702606201172,,
34,359,,,0.07824726402759552,5.273738384246826
34,359,7.322565078735352,4.12186336517334,,
36,379,8.712677001953125,4.007814884185791,,
38,399,,,0.15649452805519104,5.239680767059326
38,399,10.073421478271484,3.8934707641601562,,
40,419,11.962800025939941,3.7553577423095703,,
42,439,,,0.5477308034896851,5.143645763397217
42,439,13.343122482299805,3.603285551071167,,
44,459,16.123348236083984,3.4323246479034424,,
46,479,,,0.46948355436325073,4.991440773010254
46,479,18.688203811645508,3.260047197341919,,
48,499,21.13558578491211,3.081664800643921,,
50,519,,,0.5477308034896851,4.8493547439575195
50,519,23.62212371826172,2.8858816623687744,,
52,539,26.891826629638672,2.71315860748291,,
54,559,,,0.7042253613471985,4.694874286651611
54,559,29.779735565185547,2.5339643955230713,,
56,579,32.3543815612793,2.3691461086273193,,
58,599,,,1.0954616069793701,4.515101432800293
58,599,35.01713180541992,2.208681344985962,,
60,619,37.32746124267578,2.0715928077697754,,
62,639,,,0.7824726104736328,4.344087600708008
62,639,39.24620819091797,1.9439051151275635,,
64,659,41.458641052246094,1.814093828201294,,
66,679,,,1.408450722694397,4.210807800292969
66,679,43.64170455932617,1.7129422426223755,,
68,699,45.45276641845703,1.6062402725219727,,
70,719,,,0.8607198596000671,4.096421241760254
70,719,46.81351089477539,1.5223101377487183,,
72,739,47.547725677490234,1.441961407661438,,
74,759,,,0.7042253613471985,3.9704089164733887
74,759,48.712677001953125,1.3693881034851074,,
76,779,49.69163131713867,1.302178978919983,,
78,799,,,0.8607198596000671,3.936774492263794
78,799,50.4552116394043,1.244672179222107,,
80,819,51.21879577636719,1.1924299001693726,,
82,839,,,0.7042253613471985,3.8818411827087402
82,839,51.698482513427734,1.1559138298034668,,
84,859,52.39353942871094,1.1269307136535645,,
86,879,,,0.46948355436325073,3.9156250953674316
86,879,52.75575256347656,1.0968351364135742,,
88,899,53.176700592041016,1.060042381286621,,
90,919,,,0.6259781122207642,3.858302593231201
90,919,53.773860931396484,1.0224756002426147,,
92,939,54.047969818115234,0.9972798824310303,,
94,959,,,0.6259781122207642,3.9141809940338135
94,959,54.8507080078125,0.9810264110565186,,
96,979,55.23250198364258,0.9581213593482971,,
98,999,,,0.5477308034896851,3.9367198944091797
98,999,56.36808776855469,0.9288762211799622,,
100,1019,57.21977615356445,0.9135154485702515,,
102,1039,,,0.7824726104736328,4.0079827308654785
102,1039,57.30788040161133,0.8959009051322937,,
104,1059,58.1497802734375,0.8747972249984741,,
106,1079,,,0.7042253613471985,4.0947651863098145
106,1079,59.148311614990234,0.8640967011451721,,
108,1099,58.75672912597656,0.8587248921394348,,
110,1119,,,0.5477308034896851,4.102908134460449
110,1119,60.959373474121094,0.8333529233932495,,
112,1139,62.03622055053711,0.8113384246826172,,
114,1159,,,0.5477308034896851,4.191932201385498
114,1159,62.9955940246582,0.789776086807251,,
116,1179,63.97454833984375,0.78739333152771,,
118,1199,,,0.7042253613471985,4.302980422973633
118,1199,65.0416030883789,0.7707574963569641,,
120,1219,66.1086654663086,0.7526894807815552,,
122,1239,,,0.7042253613471985,4.393747806549072
122,1239,67.900146484375,0.7285517454147339,,
124,1259,69.87763214111328,0.7106908559799194,,
126,1279,,,0.9389671087265015,4.540876388549805
126,1279,70.84679412841797,0.697216272354126,,
