epoch,step,train_acc,train_loss,val_acc,val_loss
0,14,0.7115048766136169,4.786402225494385,,
2,29,,,2.682403326034546,4.558890342712402
2,29,1.8928714990615845,4.613770484924316,,
4,44,1.852597713470459,4.559171199798584,,
6,59,,,2.1459226608276367,4.531350612640381
6,59,2.1882131099700928,4.545077800750732,,
8,74,1.8794468641281128,4.538822174072266,,
10,89,,,2.0386266708374023,4.555943012237549
10,89,1.9331454038619995,4.534718990325928,,
12,104,2.174788475036621,4.525979042053223,,
14,119,,,1.609442114830017,4.645123481750488
14,119,2.1479392051696777,4.516867637634277,,
16,134,2.5775272846221924,4.497524261474609,,
18,149,,,1.716738224029541,4.8301615715026855
18,149,3.0205397605895996,4.457557678222656,,
20,164,3.8797154426574707,4.39859676361084,,
22,179,,,1.716738224029541,5.039233684539795
22,179,5.061081886291504,4.309525012969971,,
24,194,6.161900997161865,4.179511070251465,,
26,209,,,1.824034333229065,4.972992420196533
26,209,8.632031440734863,4.015094757080078,,
28,224,10.551752090454102,3.8414127826690674,,
30,239,,,1.9313304424285889,4.8438286781311035
30,239,13.250101089477539,3.6611783504486084,,
32,254,15.478588104248047,3.4714252948760986,,
34,269,,,2.0386266708374023,4.675059795379639
34,269,19.103235244750977,3.2902777194976807,,
36,284,22.0835018157959,3.1068432331085205,,
38,299,,,2.25321888923645,4.499920845031738
38,299,24.835548400878906,2.9276177883148193,,
40,314,28.930057525634766,2.743325710296631,,
42,329,,,2.7896995544433594,4.391432285308838
42,329,32.353336334228516,2.5745410919189453,,
44,344,35.951133728027344,2.389913558959961,,
46,359,,,2.7896995544433594,4.289286136627197
46,359,40.05906677246094,2.2063004970550537,,
48,374,44.073028564453125,2.0289902687072754,,
50,389,,,3.3261802196502686,4.109886169433594
50,389,47.993019104003906,1.85746431350708,,
52,404,52.36944580078125,1.688049077987671,,
54,419,,,4.077253341674805,3.971604585647583
54,419,57.081485748291016,1.5317758321762085,,
56,434,61.592159271240234,1.3692760467529297,,
58,449,,,4.184549331665039,3.8644065856933594
58,449,65.57926940917969,1.2305784225463867,,
60,464,68.47898864746094,1.1190260648727417,,
62,479,,,5.257510662078857,3.721855640411377
62,479,73.7817153930664,0.9870136976242065,,
64,494,77.15129852294922,0.8755793571472168,,
66,509,,,7.7253217697143555,3.5760207176208496
66,509,81.39347839355469,0.7663847208023071,,
68,524,85.21949005126953,0.6597798466682434,,
70,539,,,10.515021324157715,3.345315456390381
70,539,88.21318054199219,0.5685756206512451,,
72,554,90.4148178100586,0.48904770612716675,,
74,569,,,14.59227466583252,3.2081639766693115
74,569,91.74385833740234,0.4235574007034302,,
76,584,93.47563171386719,0.36802247166633606,,
78,599,,,16.738197326660156,3.113785743713379
78,599,94.42877960205078,0.31676599383354187,,
80,614,95.77124786376953,0.273857444524765,,
82,629,,,17.7038631439209,3.0567874908447266
82,629,96.60356903076172,0.234786257147789,,
84,644,97.15398406982422,0.20387592911720276,,
86,659,,,18.776824951171875,3.0606720447540283
86,659,97.4761734008789,0.18424628674983978,,
88,674,97.91918182373047,0.16854411363601685,,
90,689,,,19.957080841064453,3.0926289558410645
90,689,98.10713195800781,0.1464867889881134,,
92,704,98.68438720703125,0.12794913351535797,,
94,719,,,23.497854232788086,3.0738179683685303
94,719,98.64411163330078,0.11032872647047043,,
96,734,99.15425109863281,0.09860590100288391,,
98,749,,,25.858369827270508,3.0837161540985107
98,749,99.02000427246094,0.09072673320770264,,
100,764,99.4764404296875,0.0816044732928276,,
102,779,,,24.034334182739258,3.098315477371216
102,779,99.39588928222656,0.07352973520755768,,
104,794,99.50328826904297,0.06506174057722092,,
106,809,,,25.858369827270508,3.1737351417541504
106,809,99.44959259033203,0.061367329210042953,,
108,824,99.00657653808594,0.07515445351600647,,
110,839,,,25.21459197998047,3.2717487812042236
110,839,98.92603302001953,0.085269495844841,,
112,854,98.76493835449219,0.08452414721250534,,
114,869,,,27.78969955444336,3.0934979915618896
114,869,98.91260528564453,0.07153945416212082,,
116,884,99.15425109863281,0.062297265976667404,,
118,899,,,29.077253341674805,3.0965871810913086
118,899,99.44959259033203,0.05104110762476921,,
120,914,99.50328826904297,0.04342152550816536,,
122,929,,,32.1888427734375,2.989729881286621
122,929,99.74493408203125,0.03560211881995201,,
124,944,99.81205749511719,0.028636984527111053,,
126,959,,,32.081546783447266,3.0409963130950928
126,959,99.82547760009766,0.02591557614505291,,
128,974,99.78520965576172,0.02276487834751606,,
130,989,,,31.11587905883789,3.2388851642608643
130,989,99.51671600341797,0.034771744161844254,,
132,1004,99.02000427246094,0.05282382294535637,,
134,1019,,,29.291845321655273,3.2946701049804688
134,1019,98.38904571533203,0.07339299470186234,,
136,1034,98.55014038085938,0.07246328145265579,,
138,1049,,,31.54506492614746,3.1876626014709473
138,1049,98.67095947265625,0.06309492141008377,,
140,1064,99.26164245605469,0.044079653918743134,,
142,1079,,,36.48068618774414,2.9281179904937744
142,1079,99.5704116821289,0.03301910683512688,,
144,1094,99.74493408203125,0.022429216653108597,,
146,1109,,,37.87553787231445,2.836735248565674
146,1109,99.8926010131836,0.01632431522011757,,
148,1124,99.93287658691406,0.011746615171432495,,
150,1139,,,40.55794143676758,2.7204954624176025
150,1139,99.91944885253906,0.010046605952084064,,
152,1154,99.83890533447266,0.011638360098004341,,
154,1169,,,36.90987014770508,2.987515926361084
154,1169,99.62410736083984,0.02507704682648182,,
156,1184,99.08712768554688,0.04345715790987015,,
158,1199,,,36.15879821777344,3.086702585220337
158,1199,98.63069152832031,0.05694238096475601,,
160,1214,98.49644470214844,0.06098725274205208,,
162,1229,,,36.48068618774414,2.974858045578003
162,1229,99.02000427246094,0.04580533131957054,,
164,1244,99.18109893798828,0.0369856171309948,,
166,1259,,,37.98283386230469,2.933741569519043
166,1259,99.39588928222656,0.02972186915576458,,
168,1274,99.50328826904297,0.025815682485699654,,
170,1289,,,39.48497772216797,2.803938627243042
170,1289,99.61068725585938,0.021947214379906654,,
172,1304,99.63753509521484,0.018309425562620163,,
174,1319,,,38.412017822265625,2.873549461364746
174,1319,99.5838394165039,0.022338157519698143,,
176,1334,99.35562133789062,0.03193489462137222,,
178,1349,,,38.9484977722168,2.820760488510132
178,1349,99.14082336425781,0.040222618728876114,,
180,1364,99.18109893798828,0.037332434207201004,,
182,1379,,,41.63090133666992,2.826418399810791
182,1379,98.97972869873047,0.03915991634130478,,
184,1394,99.24822235107422,0.03256319463253021,,
186,1409,,,43.776824951171875,2.556612253189087
186,1409,99.44959259033203,0.0276205874979496,,
188,1424,99.59725952148438,0.023047897964715958,,
190,1439,,,45.17167282104492,2.5562407970428467
190,1439,99.62410736083984,0.0180966779589653,,
192,1454,99.73150634765625,0.01761663891375065,,
194,1469,,,45.60085678100586,2.5608088970184326
194,1469,99.51671600341797,0.022691743448376656,,
196,1484,99.35562133789062,0.025735586881637573,,
198,1499,,,41.52360534667969,2.6193878650665283
198,1499,99.0468521118164,0.03588038682937622,,
200,1514,99.43616485595703,0.030321268364787102,,
202,1529,,,43.776824951171875,2.5038259029388428
202,1529,99.4630126953125,0.02589333802461624,,
204,1544,99.44959259033203,0.024920271709561348,,
206,1559,,,45.60085678100586,2.594073534011841
206,1559,99.66438293457031,0.020679065957665443,,
208,1574,99.69123077392578,0.019588684663176537,,
210,1589,,,43.88412094116211,2.5925099849700928
210,1589,99.65096282958984,0.01856166683137417,,
212,1604,99.63753509521484,0.019032301381230354,,
214,1619,,,45.278968811035156,2.587399959564209
214,1619,99.5704116821289,0.019137460738420486,,
216,1634,99.40931701660156,0.02348119020462036,,
218,1649,,,48.068668365478516,2.6296889781951904
218,1649,99.32876586914062,0.03065507300198078,,
220,1664,99.12740325927734,0.033621564507484436,,
222,1679,,,48.068668365478516,2.430297613143921
222,1679,99.02000427246094,0.035805415362119675,,
224,1694,99.28849792480469,0.027856601402163506,,
226,1709,,,49.141632080078125,2.325611114501953
226,1709,99.53013610839844,0.021860895678400993,,
228,1724,99.53013610839844,0.01936059631407261,,
230,1739,,,49.356224060058594,2.2384469509124756
230,1739,99.43616485595703,0.023617254570126534,,
232,1754,99.31534576416016,0.02562909573316574,,
234,1769,,,49.141632080078125,2.324070692062378
234,1769,99.39588928222656,0.02282879874110222,,
236,1784,99.62410736083984,0.020863978192210197,,
238,1799,,,50.53647994995117,2.1700687408447266
