epoch,step,train_acc,train_loss,val_acc,val_loss
0,14,0.751778781414032,4.786951065063477,,
2,29,,,2.5751073360443115,4.559310436248779
2,29,1.8660222291946411,4.614063262939453,,
4,44,1.812323808670044,4.559668064117432,,
6,59,,,1.9313304424285889,4.532441139221191
6,59,2.09424090385437,4.5454840660095215,,
8,74,1.8794468641281128,4.538562297821045,,
10,89,,,2.1459226608276367,4.557834148406982
10,89,1.9197207689285278,4.534745693206787,,
12,104,2.2419116497039795,4.525439262390137,,
14,119,,,1.609442114830017,4.649752140045166
14,119,2.255336284637451,4.515727996826172,,
16,134,2.5238287448883057,4.495562553405762,,
18,149,,,1.716738224029541,4.832824230194092
18,149,3.0339643955230713,4.453193664550781,,
20,164,4.121358394622803,4.3936686515808105,,
22,179,,,1.824034333229065,5.036426544189453
22,179,5.235601902008057,4.303016185760498,,
24,194,6.551214694976807,4.173790454864502,,
26,209,,,1.9313304424285889,4.971950054168701
26,209,8.68572998046875,4.008234977722168,,
28,224,11.088736534118652,3.8345415592193604,,
30,239,,,2.0386266708374023,4.842993259429932
30,239,14.136125564575195,3.6470584869384766,,
32,254,16.20351791381836,3.4618420600891113,,
34,269,,,1.716738224029541,4.699597358703613
34,269,19.170358657836914,3.2840523719787598,,
36,284,21.6002140045166,3.100917339324951,,
38,299,,,2.1459226608276367,4.522773742675781
38,299,24.62075424194336,2.9248266220092773,,
40,314,28.554168701171875,2.7282843589782715,,
42,329,,,2.682403326034546,4.377683639526367
42,329,32.608402252197266,2.5653460025787354,,
44,344,36.05853271484375,2.382225513458252,,
46,359,,,2.7896995544433594,4.244288921356201
46,359,39.91139602661133,2.20784592628479,,
48,374,43.925357818603516,2.0317931175231934,,
50,389,,,2.7896995544433594,4.108902931213379
50,389,48.00644302368164,1.8594249486923218,,
52,404,51.939857482910156,1.6921236515045166,,
54,419,,,2.7896995544433594,3.984391450881958
54,419,56.04779052734375,1.5362404584884644,,
56,434,59.61874008178711,1.3890818357467651,,
58,449,,,3.218884229660034,3.848022699356079
58,449,63.820648193359375,1.2605646848678589,,
60,464,66.86803436279297,1.1468535661697388,,
62,479,,,4.399141788482666,3.795365333557129
62,479,70.57323455810547,1.0297774076461792,,
64,494,74.35897064208984,0.9181576371192932,,
66,509,,,5.150214672088623,3.6630876064300537
66,509,78.13129425048828,0.8215269446372986,,
68,524,81.62169647216797,0.7217174172401428,,
70,539,,,6.7596564292907715,3.5333614349365234
70,539,85.23291778564453,0.634853184223175,,
72,554,88.14605712890625,0.549315333366394,,
74,569,,,11.051502227783203,3.4165375232696533
74,569,89.95838165283203,0.4775484502315521,,
76,584,91.87810516357422,0.41491395235061646,,
78,599,,,13.733905792236328,3.2658019065856934
78,599,93.5696029663086,0.3611508011817932,,
80,614,94.57645416259766,0.31127119064331055,,
82,629,,,16.523605346679688,3.20278263092041
82,629,95.63700103759766,0.27157315611839294,,
84,644,96.68412017822266,0.23103708028793335,,
86,659,,,17.811159133911133,3.1979269981384277
86,659,97.12712860107422,0.20195326209068298,,
88,674,97.65068817138672,0.17555704712867737,,
90,689,,,19.742488861083984,3.1922829151153564
90,689,98.24137115478516,0.14752118289470673,,
92,704,98.67095947265625,0.13118773698806763,,
94,719,,,21.67382049560547,3.1783246994018555
94,719,98.80520629882812,0.12086334824562073,,
96,734,98.79178619384766,0.11085744947195053,,
98,749,,,23.06867027282715,3.234705924987793
98,749,98.97972869873047,0.10158519446849823,,
100,764,99.35562133789062,0.08830735832452774,,
102,779,,,24.678112030029297,3.2107863426208496
102,779,99.50328826904297,0.07746315747499466,,
104,794,99.5704116821289,0.06608036160469055,,
106,809,,,26.18025779724121,3.274617910385132
106,809,99.42274475097656,0.06927032023668289,,
108,824,99.10054779052734,0.07374288886785507,,
110,839,,,21.995708465576172,3.3840525150299072
110,839,98.88575744628906,0.07973882555961609,,
112,854,98.8454818725586,0.07977873086929321,,
114,869,,,25.965665817260742,3.309490442276001
114,869,98.96630096435547,0.07464418560266495,,
116,884,99.11397552490234,0.0642218366265297,,
118,899,,,26.18025779724121,3.301187038421631
118,899,99.43616485595703,0.05435549467802048,,
120,914,99.4764404296875,0.04768875986337662,,
122,929,,,29.18454933166504,3.2645931243896484
122,929,99.61068725585938,0.042760275304317474,,
124,944,99.39588928222656,0.042750582098960876,,
126,959,,,29.399141311645508,3.272373914718628
126,959,99.4630126953125,0.04118824005126953,,
128,974,99.3824691772461,0.044215355068445206,,
130,989,,,31.223175048828125,3.2532382011413574
130,989,99.24822235107422,0.04865534231066704,,
132,1004,99.20794677734375,0.04576806724071503,,
134,1019,,,30.57939910888672,3.224979877471924
134,1019,99.0602798461914,0.051483895629644394,,
136,1034,99.30191802978516,0.04499798268079758,,
138,1049,,,31.223175048828125,3.1416244506835938
138,1049,99.51671600341797,0.034908000379800797,,
140,1064,99.3690414428711,0.034426283091306686,,
142,1079,,,31.54506492614746,3.2090463638305664
142,1079,99.32876586914062,0.03685435280203819,,
144,1094,99.34219360351562,0.036823857575654984,,
146,1109,,,33.798282623291016,3.1825480461120605
146,1109,99.27507019042969,0.038813695311546326,,
148,1124,99.34219360351562,0.03999200090765953,,
150,1139,,,34.12017059326172,2.9836113452911377
150,1139,99.30191802978516,0.04006848856806755,,
152,1154,99.18109893798828,0.04278828203678131,,
154,1169,,,34.012874603271484,3.071101427078247
154,1169,99.19451904296875,0.0433756485581398,,
156,1184,99.19451904296875,0.037794824689626694,,
158,1199,,,36.587982177734375,3.1499266624450684
158,1199,99.39588928222656,0.033145636320114136,,
160,1214,99.4764404296875,0.028462430462241173,,
162,1229,,,36.90987014770508,3.0001919269561768
162,1229,99.59725952148438,0.025452474132180214,,
164,1244,99.63753509521484,0.023749561980366707,,
166,1259,,,35.836910247802734,3.0073063373565674
166,1259,99.44959259033203,0.02578403241932392,,
168,1274,99.4630126953125,0.02964097447693348,,
170,1289,,,36.587982177734375,3.02394962310791
170,1289,99.11397552490234,0.0364873893558979,,
172,1304,98.75151062011719,0.05133400484919548,,
174,1319,,,37.339054107666016,3.0202653408050537
174,1319,98.48301696777344,0.052091650664806366,,
176,1334,98.91260528564453,0.0434742234647274,,
178,1349,,,38.30472183227539,2.883758783340454
178,1349,99.30191802978516,0.032640695571899414,,
180,1364,99.54356384277344,0.02679765596985817,,
