epoch,step,train_acc,train_loss,val_acc,val_loss
0,14,0.7920526266098022,4.793370246887207,,
2,29,,,2.3605151176452637,4.560521602630615
2,29,1.70492684841156,4.625853061676025,,
4,44,1.8794468641281128,4.569047451019287,,
6,59,,,2.0386266708374023,4.532200336456299
6,59,1.9734193086624146,4.550405025482178,,
8,74,2.0271177291870117,4.543120384216309,,
10,89,,,1.824034333229065,4.551451206207275
10,89,2.0405423641204834,4.536797523498535,,
12,104,2.4030070304870605,4.527461051940918,,
14,119,,,1.716738224029541,4.626058578491211
14,119,2.215062379837036,4.519744873046875,,
16,134,2.349308729171753,4.5065813064575195,,
18,149,,,1.824034333229065,4.768235683441162
18,149,2.886293411254883,4.478302001953125,,
20,164,3.1950597763061523,4.44026517868042,,
22,179,,,1.716738224029541,4.967688083648682
22,179,3.987112283706665,4.390396595001221,,
24,194,5.020808219909668,4.311920642852783,,
26,209,,,1.716738224029541,5.064241409301758
26,209,6.282722473144531,4.195285797119141,,
28,224,7.786280155181885,4.059574604034424,,
30,239,,,1.824034333229065,4.954751968383789
30,239,10.108739852905273,3.909221887588501,,
32,254,11.679420471191406,3.747908115386963,,
34,269,,,2.0386266708374023,4.815232753753662
34,269,13.881057739257812,3.6011459827423096,,
36,284,15.612833976745605,3.4526126384735107,,
38,299,,,2.0386266708374023,4.686940670013428
38,299,17.639951705932617,3.3022849559783936,,
40,314,20.647066116333008,3.1282095909118652,,
42,329,,,2.25321888923645,4.549859046936035
42,329,23.895824432373047,2.983508586883545,,
44,344,25.93636703491211,2.82952880859375,,
46,359,,,2.25321888923645,4.4389777183532715
46,359,28.782386779785156,2.671867847442627,,
48,374,31.655256271362305,2.519430637359619,,
50,389,,,2.3605151176452637,4.304282188415527
50,389,34.79661560058594,2.3659350872039795,,
52,404,38.67633056640625,2.1976118087768555,,
54,419,,,2.896995782852173,4.156412601470947
54,419,41.294132232666016,2.0505356788635254,,
56,434,45.133575439453125,1.9109904766082764,,
58,449,,,3.433476448059082,3.997128486633301
58,449,48.556854248046875,1.7624220848083496,,
60,464,51.80561065673828,1.6337672472000122,,
62,479,,,3.433476448059082,3.8377418518066406
62,479,54.62478256225586,1.5035276412963867,,
64,494,58.397098541259766,1.3901910781860352,,
66,509,,,4.077253341674805,3.7590088844299316
66,509,61.12229919433594,1.2789878845214844,,
68,524,64.45160675048828,1.1850091218948364,,
70,539,,,4.935622215270996,3.6053884029388428
70,539,68.78775787353516,1.0730316638946533,,
72,554,72.76144409179688,0.9717006683349609,,
74,569,,,7.510729789733887,3.405211925506592
74,569,75.781982421875,0.8839051127433777,,
76,584,79.4871826171875,0.7898368835449219,,
78,599,,,11.909871101379395,3.226846933364868
78,599,82.77621459960938,0.7009707093238831,,
80,614,85.273193359375,0.6227983832359314,,
82,629,,,15.557939529418945,3.0842204093933105
82,629,87.75674438476562,0.5539506077766418,,
84,644,90.17317962646484,0.46601155400276184,,
86,659,,,20.386266708374023,2.902674674987793
86,659,91.70358276367188,0.4185842275619507,,
88,674,92.85810089111328,0.3754831552505493,,
90,689,,,20.493562698364258,2.8146839141845703
90,689,93.91864776611328,0.33429214358329773,,
92,704,94.69727325439453,0.305525541305542,,
94,719,,,26.072961807250977,2.7197043895721436
94,719,95.47590637207031,0.2721397876739502,,
96,734,96.03973388671875,0.23645804822444916,,
98,749,,,26.716737747192383,2.647026538848877
98,749,96.49617767333984,0.21257561445236206,,
100,764,97.31507873535156,0.18832862377166748,,
102,779,,,29.399141311645508,2.628316640853882
102,779,97.3553466796875,0.1726256012916565,,
104,794,97.40904998779297,0.16514833271503448,,
106,809,,,29.828325271606445,2.6629490852355957
106,809,97.3553466796875,0.16156674921512604,,
108,824,97.87890625,0.14301471412181854,,
110,839,,,32.5107307434082,2.6030588150024414
110,839,98.20110321044922,0.12540213763713837,,
112,854,98.48301696777344,0.11243602633476257,,
114,869,,,33.36909866333008,2.573789358139038
114,869,98.60383605957031,0.10672665387392044,,
116,884,98.73808288574219,0.09668242186307907,,
118,899,,,35.19313430786133,2.5342509746551514
118,899,98.72466278076172,0.09012258797883987,,
120,914,98.97972869873047,0.09052880853414536,,
122,929,,,35.30043029785156,2.6083054542541504
122,929,99.0334243774414,0.08212308585643768,,
124,944,98.76493835449219,0.08015074580907822,,
126,959,,,35.94420623779297,2.5456221103668213
126,959,98.8454818725586,0.07921914011240005,,
128,974,98.73808288574219,0.078447125852108,,
130,989,,,36.15879821777344,2.6033706665039062
130,989,98.91260528564453,0.07280392199754715,,
132,1004,98.63069152832031,0.07732453942298889,,
134,1019,,,39.2703857421875,2.5303168296813965
134,1019,99.00657653808594,0.06589919328689575,,
136,1034,99.0334243774414,0.059408221393823624,,
138,1049,,,41.63090133666992,2.4094953536987305
138,1049,99.22137451171875,0.05286412686109543,,
140,1064,99.3824691772461,0.0442795529961586,,
142,1079,,,41.84549331665039,2.392669916152954
142,1079,99.44959259033203,0.04139969125390053,,
144,1094,99.54356384277344,0.04189683124423027,,
146,1109,,,43.562232971191406,2.3977391719818115
146,1109,99.51671600341797,0.04201803728938103,,
148,1124,99.24822235107422,0.04686383903026581,,
150,1139,,,41.84549331665039,2.5383479595184326
150,1139,99.28849792480469,0.04877641424536705,,
152,1154,99.16767120361328,0.05175473913550377,,
154,1169,,,41.84549331665039,2.4090306758880615
154,1169,99.27507019042969,0.04896257072687149,,
