epoch,step,train_acc,train_loss,val_acc,val_loss
0,19,0.8516886830329895,4.808628082275391,,
2,39,,,0.46948355436325073,4.752665996551514
2,39,0.7929515242576599,4.753358840942383,,
4,59,0.8027410507202148,4.745270252227783,,
6,79,,,0.7042253613471985,4.756124973297119
6,79,0.8125305771827698,4.74034309387207,,
8,99,0.9006363153457642,4.740092754364014,,
10,119,,,0.23474177718162537,4.782482624053955
10,119,0.8125305771827698,4.734362602233887,,
12,139,1.0083210468292236,4.728652477264404,,
14,159,,,0.3129890561103821,4.842428207397461
14,159,1.243269681930542,4.7214460372924805,,
16,179,1.3411649465560913,4.700173854827881,,
18,199,,,0.15649452805519104,4.922919750213623
18,199,1.4977973699569702,4.6731276512146,,
20,219,1.8208516836166382,4.627126216888428,,
22,239,,,0.07824726402759552,5.014787673950195
22,239,2.388644218444824,4.562417030334473,,
24,259,2.6627509593963623,4.480586528778076,,
26,279,,,0.3912363052368164,5.009530544281006
26,279,3.4459128379821777,4.38413143157959,,
28,299,4.385707378387451,4.283435344696045,,
30,319,,,0.3912363052368164,4.903356075286865
30,319,5.159079551696777,4.183497428894043,,
32,339,6.010768413543701,4.066554069519043,,
34,359,,,0.6259781122207642,4.713878631591797
34,359,7.4302496910095215,3.9373371601104736,,
36,379,8.800783157348633,3.7973687648773193,,
38,399,,,0.5477308034896851,4.447678565979004
38,399,11.443955421447754,3.6375892162323,,
40,419,14.331865310668945,3.407879114151001,,
42,439,,,1.7996870279312134,3.9804718494415283
42,439,17.865882873535156,3.1839613914489746,,
44,459,21.38032341003418,2.9969093799591064,,
46,479,,,1.877934217453003,3.7669026851654053
46,479,24.336759567260742,2.8438191413879395,,
48,499,27.273616790771484,2.7142696380615234,,
50,519,,,2.4256651401519775,3.683636426925659
50,519,30.445423126220703,2.587939739227295,,
52,539,34.077335357666016,2.4731926918029785,,
54,559,,,2.973395824432373,3.6378841400146484
54,559,37.484092712402344,2.3531763553619385,,
56,579,41.41947937011719,2.212132692337036,,
58,599,,,3.4428794384002686,3.6028618812561035
58,599,45.67792510986328,2.071882963180542,,
60,619,49.28047180175781,1.9410219192504883,,
62,639,,,4.460093975067139,3.5029284954071045
62,639,54.17523193359375,1.7934309244155884,,
64,659,58.423885345458984,1.6534008979797363,,
66,679,,,7.120500564575195,3.3830041885375977
66,679,63.162017822265625,1.5098291635513306,,
68,699,66.37297821044922,1.3873231410980225,,
70,719,,,8.920187950134277,3.248504638671875
70,719,70.43563079833984,1.2572442293167114,,
72,739,75.11502838134766,1.115291714668274,,
74,759,,,12.284819602966309,3.136065721511841
74,759,78.5413589477539,0.9872035384178162,,
76,779,81.23348236083984,0.887726366519928,,
78,799,,,16.901409149169922,2.912034511566162
78,799,84.76750183105469,0.7839237451553345,,
80,819,87.01908874511719,0.689605176448822,,
82,839,,,21.205007553100586,2.8103156089782715
82,839,88.4581527709961,0.619910717010498,,
84,859,90.2398452758789,0.5449809432029724,,
86,879,,,25.35211181640625,2.6737451553344727
86,879,91.90406036376953,0.47713160514831543,,
88,899,93.51933288574219,0.41294196248054504,,
90,919,,,29.890453338623047,2.5123796463012695
90,919,94.5080795288086,0.3602919280529022,,
